link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/eggyday-100g-i5219058197.html,Eggyday ข้าวไข่ขาว เส้นไข่ขาว ไร้แป้ง แคลเซียมสูง คีโตทานได้ ขนาด 100g.,"เส้นไข่ขาว, ข้าวไข่ขาว",กรุงเทพมหานคร,5.0,5,59 ชิ้น,"เส้นราเมนไข่ขาว, เส้นหมี่ ไข่ขาว, ข้าวไข่ขาว",69,69,,BeautyParadise,,lazada,5219058197,100247091240
https://www.lazada.co.th/products/keto-i3112450969.html,เส้นหมี่ไข่ขาว คีโต keto,เส้นหมี่ไข่ขาว,ยะลา,5.0,15,144 ชิ้น,,79,79,,Thank you keto,,lazada,3112450969,100139116
https://www.lazada.co.th/products/10-eggyday-keto-100-3-i4947185332.html,แพค 10 ซอง eggyday เส้นโปรตีนไข่ขาว โปรตีนสูง อร่อย ไม่คาว ไร้แป้ง Keto พร้อมทาน 100 กรัม แบบเส้นหมี่และเส้นราเมน เทียบเท่าไข่ขาว 3 ฟอง เพื่อสุขภาพ,โปรตีนไข่ขาว,กรุงเทพมหานคร,5.0,9,19 ชิ้น,"ราเมนล้วน 10 ซอง, เส้นหมี่ล้วน 10 ซอง, คละเส้นอย่างละครึ่ง",790,790,,Eggyday Store,,lazada,4947185332,100195518243
https://www.lazada.co.th/products/eggyday-100g-65a-i4832744922.html,Eggyday เส้นหมี่ไข่ขาว 100g พร้อมทาน (65A),เส้นหมี่ไข่ขาว,ปทุมธานี,4.966666666666667,60,335 ชิ้น,,79,65,18%,Healthy Shop สินค้าสุขภาพ ครบวงจร,mall,lazada,4832744922,100219674264
https://www.lazada.co.th/products/500-i4744093999.html,เส้นไข่ขาว (เส้นหมี่) 500กรัม,เส้นไข่ขาว,เชียงใหม่,4.5,2,5 ชิ้น,,225,225,,Rainny Keto002,,lazada,4744093999,100429872942
https://www.lazada.co.th/products/eggyday-100g-3-i4440194645.html,Eggyday เส้นราเมนโปรตีนไข่ขาว 100g จำนวน 3 ซอง,โปรตีนไข่ขาว,สมุทรปราการ,4.972972972972973,37,133 ชิ้น,,237,199,16%,Happyshoppingofficial,,lazada,4440194645,100183137045
https://www.lazada.co.th/products/eggyday-100-i4968677997.html,Eggyday เส้นโปรตีนไข่ขาว เส้นไข่ขาวไร้แป้ง 100กรัม แบบเส้นหมี่และเส้นราเมน ไม่มีแป้ง ไม่มีน้ำตาล เส้นคีโต โปรตีนสูง คลีน คีโต เพื่อสุขภาพ,"เส้นไข่ขาว, โปรตีนไข่ขาว",กรุงเทพมหานคร,4.9298245614035086,114,621 ชิ้น,"เส้นหมี่, เส้นราเมน, ข้าวไข่ขาว",89,69,22%,Webspt,mall,lazada,4968677997,1000193774
https://www.lazada.co.th/products/-i3112542278.html,เส้นไข่ขาว เส้นอุด้ง คีโต,เส้นไข่ขาว,ยะลา,5.0,15,124 ชิ้น,,75,75,,Thank you keto,,lazada,3112542278,100139116
https://www.lazada.co.th/products/keto-white-egg-noodle-i4774018379.html,เส้นไข่ขาว โปรตีนสูง ไร้แป้ง ไร้ไขมัน เพื่อสุขภาพ คีโต Keto White Egg Noodle,เส้นไข่ขาว,กรุงเทพมหานคร,4.993288590604027,149,918 ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, เส้นสปาเก็ตตี้, ข้าวไข่มุก",69,69,,HidailyThailand,mall,lazada,4774018379,100192134310
https://www.lazada.co.th/products/nimnim-keto-100g-i2618172956.html,Nimnim เส้นหมี่ไข่ขาว KETO (น้ำหนักเส้น 100g.) เส้นพร้อมทาน,เส้นหมี่ไข่ขาว,เชียงใหม่,5.0,19,312 ชิ้น,,79,73,8%,greenpea organic shop,,lazada,2618172956,100006971
